[catch_wm s0 d0] variant C_world_model on cpu; env synthetic:catch (sticky=0.0); actions ['NOOP', 'FIRE', 'RIGHT', 'LEFT']; budget 20000 decisions, warmup until 1000
[catch_wm s0 d5569] episode 98: return -5, 56 decisions
[catch_wm s0 d5626] episode 99: return -5, 57 decisions
[catch_wm s0 d5684] episode 100: return -5, 58 decisions
[catch_wm s0 d5740] episode 101: return -3, 56 decisions
[catch_wm s0 d5799] episode 102: return -5, 59 decisions
[catch_wm s0 d5859] episode 103: return -4, 60 decisions
[catch_wm s0 d5918] episode 104: return -5, 59 decisions
[catch_wm s0 d5976] episode 105: return -5, 58 decisions
[catch_wm s0 d6033] episode 106: return -5, 57 decisions
[catch_wm s0 d6089] episode 107: return -5, 56 decisions
[catch_wm s0 d6146] episode 108: return -5, 57 decisions
[catch_wm s0 d6202] episode 109: return -5, 56 decisions
[catch_wm s0 d6262] episode 110: return -4, 60 decisions
[catch_wm s0 d6318] episode 111: return -5, 56 decisions
[catch_wm s0 d6376] episode 112: return -3, 58 decisions
[catch_wm s0 d6436] episode 113: return -5, 60 decisions
[catch_wm s0 d6496] episode 114: return -4, 60 decisions
[catch_wm s0 d6556] episode 115: return +0, 60 decisions
[catch_wm s0 d6616] episode 116: return -2, 60 decisions
[catch_wm s0 d6673] episode 117: return -5, 57 decisions
[catch_wm s0 d6727] episode 118: return -5, 54 decisions
[catch_wm s0 d6783] episode 119: return -3, 56 decisions
[catch_wm s0 d6841] episode 120: return -3, 58 decisions
[catch_wm s0 d6899] episode 121: return -3, 58 decisions
[catch_wm s0 d6958] episode 122: return -5, 59 decisions
[catch_wm s0 d7000] update 1500: loss_q=0.0160 loss_jepa=0.0705 loss_reward=0.0284 loss_continue=0.0443 loss_var=0.0001 latent_std_mean=0.5560
[catch_wm s0 d7018] episode 123: return -3, 60 decisions
[catch_wm s0 d7075] episode 124: return -5, 57 decisions
[catch_wm s0 d7132] episode 125: return -5, 57 decisions
[catch_wm s0 d7184] episode 126: return -3, 52 decisions
[catch_wm s0 d7244] episode 127: return -2, 60 decisions
[catch_wm s0 d7298] episode 128: return -3, 54 decisions
[catch_wm s0 d7353] episode 129: return -3, 55 decisions
[catch_wm s0 d7413] episode 130: return -3, 60 decisions
